town,county,total_enrollment,weighted_frpl_rate,county_median_income,low_confidence_flag,PC1,PC2,PC3,PC4,PC5,hardship_score
Burlington,Chittenden,3473.0,48.29,89494,0,-0.7480614773189177,12.312313712008574,1.5086710835893313,-2.738845374347001,-1.5788292570178144,-0.902
Cabot,Washington,164.0,42.07,77278,0,1.1970558357871235,-1.2687273440890188,1.19136110588614,4.155007918839878,-1.0222904800968358,0.031
Cambridge,Lamoille,120.0,14.17,69886,0,-2.7096003977410343,-1.744306434331398,-0.22541161879390986,-0.33233616924068826,1.1410341650913953,-1.006
Canaan,Essex,169.0,31.36,55247,0,1.881368144075775,-2.2431449386402162,-3.7531548836003505,3.406238513009426,-1.3911266410236152,1.745
Castleton,Rutland,251.0,33.47,62641,0,0.9085435241027738,-0.9807182141683257,-0.9538105670038597,-0.21804023981505358,-0.20342620628411653,1.072
Charlotte,Chittenden,707.0,3.96,89494,0,-6.146098910745606,-0.48509283541582504,0.23960938232931306,0.873180719937502,-1.5841866205356054,-3.841
Chelsea,Orange,94.0,37.23,74534,0,0.45794400120743195,-0.6231078713347762,1.3893523318925947,-0.26889313169843804,-0.18483062498439895,0.012
Chester,Windsor,596.0,45.81,69492,0,1.6910082386178993,1.2881198736928525,1.0937253016311252,0.419294713105505,0.1930431851007464,1.136
Chittenden,Rutland,186.0,17.2,62641,0,-1.5654542465902401,-1.6666944840860245,-2.1241987619572433,-0.6322658581848913,0.15935165960766043,-0.007
Colchester,Chittenden,2414.0,23.45,89494,0,-4.022043242402372,5.910249515325475,0.5978174938343014,-0.8097572454914674,-1.6321904175979745,-2.549
Concord,Essex,156.0,50.0,55247,0,4.435455425924663,-0.8338559533526884,-2.399220771723701,-0.928487397788337,-1.0040291609592735,2.981
Cornwall,Addison,93.0,12.9,85870,0,-4.106981915404113,-1.527212160830905,1.5840679017606514,-0.2303372975142721,0.9716125237470432,-2.849
Coventry,Orleans,122.0,61.48,63981,0,5.360849561231781,-0.31921153542827174,1.0570636644831197,-0.18271017206934667,-0.08083877000870987,2.781
