school_name,lea_name,town,enrollment,free_lunch,reduced_price_lunch,free_or_reduced_price_lunch,school_level,frl_pct
Rutland Intermediate School,Rutland City School District,Rutland,493.0,256.0,8.0,264.0,1,53.5
Stafford Technical Center,Rutland City School District,Rutland,0.0,,,,3,
Northeast Primary School,Rutland City School District,Rutland,252.0,92.0,0.0,92.0,1,36.5
Rutland Middle School,Rutland City School District,Rutland,254.0,119.0,5.0,124.0,2,48.8
Rutland Town Elementary School,Rutland Town School District,Rutland Town,360.0,37.0,4.0,41.0,1,11.4
Bellows Free Academy (St. Albans),Maple Run Unified Union School District #57,Saint Albans,904.0,162.0,23.0,185.0,3,20.5
St. Albans Town Educational Center,Maple Run Unified Union School District #57,Saint Albans,777.0,145.0,12.0,157.0,1,20.2
St. Albans City Elementary School,Maple Run Unified Union School District #57,Saint Albans,718.0,334.0,72.0,406.0,1,56.5
Northwest Technical Center,Maple Run Unified Union School District #57,Saint Albans,0.0,,,,3,
Georgia Elementary & Middle School,Georgia School District,Saint Albans,630.0,74.0,48.0,122.0,1,19.4
St. Johnsbury School,Saint Johnsbury School District,Saint Johnsbury,702.0,316.0,52.0,368.0,1,52.4
Salisbury Community School,Addison Central Unified Union School District #55,Salisbury,65.0,23.0,8.0,31.0,1,47.7
Saxton River Elementary School,Rockingham School District,Saxtons River,76.0,32.0,4.0,36.0,1,47.4
Shaftsbury Elementary School,Southwest Vermont Union Elementary School District #87,Shaftsbury,245.0,72.0,18.0,90.0,1,36.7
Sharon Elementary School,Sharon School District,Sharon,170.0,51.0,13.0,64.0,1,37.6
Millers Run School,Kingdom East Unified Union School District #64,Sheffield,136.0,61.0,0.0,61.0,1,44.9
Shelburne Community School,Champlain Valley Unified Union School District #56,Shelburne,736.0,86.0,15.0,101.0,1,13.7
Sheldon Elementary School,Northern Mountain Valley Unified Union School District #85,Sheldon,335.0,85.0,44.0,129.0,1,38.5
Shoreham Elementary School,Addison Central Unified Union School District #55,Shoreham,76.0,12.0,6.0,18.0,1,23.7
Chamberlin School,South Burlington School District,South Burlington,457.0,74.0,11.0,85.0,1,18.6
Orchard School,South Burlington School District,South Burlington,452.0,69.0,6.0,75.0,1,16.6
Rick Marcotte Central School,South Burlington School District,South Burlington,436.0,76.0,4.0,80.0,1,18.3
South Burlington High School,South Burlington School District,South Burlington,843.0,104.0,10.0,114.0,3,13.5
Frederick H. Tuttle Middle School,South Burlington School District,South Burlington,512.0,81.0,9.0,90.0,2,17.6
Folsum Education & Community Center,South Hero School District,South Hero,141.0,16.0,2.0,18.0,1,12.8
Prosper Valley School,Windsor Central Unified Union School District #76,South Pomfret,91.0,12.0,0.0,12.0,2,13.2
White River Valley High School,White River Unified School District #79,South Royalton,192.0,60.0,22.0,82.0,3,42.7
South Royalton Elementary School,White River Unified School District #79,South Royalton,164.0,59.0,13.0,72.0,1,43.9
Newton School,Strafford School District,South Strafford,126.0,25.0,4.0,29.0,1,23.0
Elm Hill School,Springfield School District,Springfield,390.0,181.0,3.0,184.0,1,47.2
Riverside Middle School,Springfield School District,Springfield,254.0,133.0,12.0,145.0,2,57.1
Union Street School,Springfield School District,Springfield,250.0,125.0,11.0,136.0,1,54.4
River Valley Technical Center,River Valley Technical Center,Springfield,0.0,,,,3,
Springfield High School,Springfield School District,Springfield,325.0,137.0,14.0,151.0,3,46.5
Robinson School,Mt. Abraham Unified School District #61,Starksboro,106.0,31.0,0.0,31.0,1,29.2
Stockbridge Central School,Rochester Stockbridge Unified School District #81,Stockbridge,45.0,16.0,0.0,16.0,1,35.6
Stowe Elementary School,Lamoille South Unified Union School District #90,Stowe,379.0,25.0,8.0,33.0,1,8.7
Stowe Middle School,Lamoille South Unified Union School District #90,Stowe,190.0,11.0,3.0,14.0,2,7.4
Stowe High School,Lamoille South Unified Union School District #90,Stowe,221.0,13.0,1.0,14.0,3,6.3
Stamford Elementary School,Stamford School District,Stramford,74.0,17.0,3.0,20.0,1,27.0
Sutton Village School,Kingdom East Unified Union School District #64,Sutton,113.0,47.0,1.0,48.0,1,42.5
Missisquoi Valley Union High School,Missisquoi Valley School District #89,Swanton,736.0,183.0,88.0,271.0,3,36.8
Swanton School,Missisquoi Valley School District #89,Swanton,664.0,179.0,83.0,262.0,1,39.5
Thetford Elementary School,Thetford School District,Thetford,208.0,27.0,1.0,28.0,1,13.5
Tinmouth Elementary School,Mill River Unified Union School District #52,Tinmouth,70.0,27.0,11.0,38.0,1,54.3
Townshend Village School,West River Valley Union Education District #72A,Townshend,90.0,16.0,7.0,23.0,1,25.6
Leland & Gray Union Middle & High School,West River Valley Union Education District #72B,Townshend,257.0,35.0,7.0,42.0,3,16.3
First Branch Elementary School,First Branch Unified School District #82,Tunbridge,149.0,36.0,5.0,41.0,1,27.5
Underhill Central School,Mount Mansfield Unified Union School District #401,Underhill Center,200.0,14.0,2.0,16.0,1,8.0
Vergennes Union Elementary School,Addison Northwest Unified Union School District #54,Vergennes,297.0,73.0,22.0,95.0,1,32.0
Vergennes Union High School,Addison Northwest Unified Union School District #54,Vergennes,398.0,88.0,30.0,118.0,3,29.6
Vernon Elementary School,Vernon School District,Vernon,185.0,55.0,4.0,59.0,1,31.9
Waitsfield Elementary School,Harwood Unified Union School District #60,Waitsfield,168.0,44.0,6.0,50.0,1,29.8
Walden School,Caledonia Cooperative Unified School District #78,Walden,74.0,25.0,3.0,28.0,1,37.8
Wallingford Village School,Mill River Unified Union School District #52,Wallingford,122.0,64.0,17.0,81.0,1,66.4
Wardsboro Central School,River Valleys Unified School District #73,Wardsboro,49.0,8.0,6.0,14.0,1,28.6
Warren Elementary School,Harwood Unified Union School District #60,Warren,142.0,22.0,5.0,27.0,1,19.0
Washington Village School,Echo Valley Community Union School District #67,Washington,118.0,44.0,0.0,44.0,1,37.3
Brookside Primary School,Harwood Unified Union School District #60,Waterbury,400.0,92.0,8.0,100.0,1,25.0
Waterford Elementary School,Caledonia Cooperative Unified School District #78,Waterford,154.0,20.0,8.0,28.0,1,18.2
Waterville Elementary School,Lamoille North Modified Union School District #058A,Waterville,81.0,29.0,2.0,31.0,1,38.3
Wells Village School,Wells Spring Unified Union School District #69,Wells,84.0,27.0,5.0,32.0,1,38.1
Blue Mountain Union School,Blue Mountain Union School District #21,Wells River,411.0,162.0,21.0,183.0,4,44.5
Burke Town School,Kingdom East Unified Union School District #64,West Burke,189.0,47.0,0.0,47.0,1,24.9
Charleston Elementary School,Charleston School District,West Charleston,117.0,47.0,19.0,66.0,1,56.4
Westshire Elementary School,Rivendell Interstate School District,West Fairlee,77.0,23.0,11.0,34.0,1,44.2
Halifax West School,Halifax School District,West Halifax,62.0,14.0,17.0,31.0,1,50.0
Mettawee Community School,Mettawee School District #84,West Pawlet,138.0,49.0,11.0,60.0,1,43.5
West Rutland School,Quarry Valley Unified Union School District #70,West Rutland,326.0,85.0,16.0,101.0,4,31.0
Westford Elementary School,Essex Westford Educational Community Unified Union SD #51,Westford,201.0,18.0,9.0,27.0,1,13.4
White River School,Hartford School District,White River Junction,198.0,70.0,15.0,85.0,1,42.9
Hartford Area Career & Technology Center,Hartford School District,White River Junction,0.0,,,,3,
Hartford Memorial Middle School,Hartford School District,White River Junction,294.0,86.0,18.0,104.0,2,35.4
Hartford High School,Hartford School District,White River Junction,518.0,103.0,13.0,116.0,3,22.4
Dothan Brook School,Hartford School District,White River Junction,246.0,54.0,15.0,69.0,1,28.0
Otter Creek Academy at Leicester Sudbury and Whiting,Otter Valley Unified Union School District #53,Whiting,96.0,41.0,0.0,41.0,1,42.7
Twin Valley Middle High School,Twin Valley Unified School District #75,Whitingham,193.0,52.0,22.0,74.0,3,38.3
Williamstown Elementary School,Paine Mountain Union School District #68,Williamstown,251.0,103.0,0.0,103.0,1,41.0
Williamstown Middle/High School,Paine Mountain Union School District #68,Williamstown,271.0,107.0,0.0,107.0,3,39.5
Williston Schools,Champlain Valley Unified Union School District #56,Williston,942.0,109.0,35.0,144.0,1,15.3
Twin Valley Elementary School,Twin Valley Unified School District #75,Wilmington,181.0,63.0,15.0,78.0,1,43.1
Windham Elementary School,Windham School District,Windham,22.0,3.0,0.0,3.0,1,13.6
Windsor School,Mount Ascutney School District #86,Windsor,580.0,163.0,30.0,193.0,4,33.3
Winooski Middle School,Winooski Incorporated School District,Winooski,139.0,85.0,1.0,86.0,2,61.9
J. F. Kennedy Elementary School,Winooski Incorporated School District,Winooski,433.0,233.0,7.0,240.0,1,55.4
Winooski High School,Winooski Incorporated School District,Winooski,215.0,147.0,0.0,147.0,3,68.4
Wolcott Elementary School,Wolcott School District,Wolcott,121.0,24.0,1.0,25.0,1,20.7
Woodbury Elementary School,Orleans Southwest Union Elementary School District #94,Woodbury,55.0,10.0,0.0,10.0,1,18.2
Woodstock Elementary School,Windsor Central Unified Union School District #76,Woodstock,269.0,24.0,2.0,26.0,1,9.7
Woodstock Union Middle/High School,Windsor Central Unified Union School District #76,Woodstock,449.0,36.0,6.0,42.0,3,9.4
Doty Memorial School,Washington Central Unified Union School District #92,Worcester,75.0,19.0,0.0,19.0,1,25.3
