town,county,cluster,cluster_name,weighted_frpl_rate,total_enrollment,county_median_income,hardship_score,PC1,PC2,PC3,PC4,PC5
Barnard,Windsor,5,Low Hardship - Affluent Areas,9.72,72.0,69492,-1.257,-3.2526791241307595,-2.02787122134994,-0.5445539362553738,-0.4528641241168202,1.3534940872531194
Woodstock,Windsor,5,Low Hardship - Affluent Areas,9.47,718.0,69492,-1.274,-3.7641879095140736,-0.1249420973892412,-1.0800824373102185,0.1972445320553431,0.3982760387493905
Fairfax,Franklin,5,Low Hardship - Affluent Areas,14.92,1039.0,73633,-1.368,-3.055460250715031,0.5656689312764083,-1.2872942145261042,0.507232975693072,-0.830514965778188
Northfield,Washington,5,Low Hardship - Affluent Areas,20.95,525.0,77278,-1.37,-2.418842182661839,0.227945537522036,-0.172270776971669,-0.0513340591078655,-0.1730256046556549
Moretown,Washington,5,Low Hardship - Affluent Areas,20.53,721.0,77278,-1.397,-2.4092947793840183,1.3196598658941667,-0.471225645120546,0.6460699309616109,0.6245708686619575
Stowe,Lamoille,5,Low Hardship - Affluent Areas,7.72,790.0,69886,-1.434,-4.272450427130371,1.0036157141858346,-1.055578812307656,-0.595107195867738,0.1581488707330476
Norwich,Windsor,5,Low Hardship - Affluent Areas,6.55,351.0,69492,-1.467,-3.994135653051543,-1.5557973526703337,-1.0192777644974285,0.044498036175009,0.5820232646873186
Warren,Washington,5,Low Hardship - Affluent Areas,19.01,142.0,77278,-1.498,-2.3730798028291833,-1.4141309850146122,0.1454516336236082,-0.3657946288207659,0.2760973159149961
Woodbury,Washington,5,Low Hardship - Affluent Areas,18.18,55.0,77278,-1.553,-2.482507778801423,-1.6013326388869251,0.0340285657741537,-0.6476322964026839,0.4622977750903385
Thetford,Orange,5,Low Hardship - Affluent Areas,13.46,208.0,74534,-1.564,-3.1081566220165775,-1.5254320786656144,-0.3523346434637153,-0.2694680638927761,0.4586022465026291
Middlesex,Washington,5,Low Hardship - Affluent Areas,16.53,121.0,77278,-1.663,-2.681297910743767,-1.562864053357614,0.099556019131911,-0.356069691514339,0.4370962381674687
Starksboro,Addison,5,Low Hardship - Affluent Areas,29.25,106.0,85870,-1.765,-1.7222582197069694,-0.8968079605395217,2.5046012508148716,-0.1473447171124103,0.5806614223240579
Bridport,Addison,5,Low Hardship - Affluent Areas,28.57,63.0,85870,-1.81,-1.6535131309611637,-1.0543414031254004,2.7645521675052187,-0.034401581783646,0.8743888301390891
Duxbury,Washington,5,Low Hardship - Affluent Areas,14.24,288.0,77278,-1.815,-3.3241391241881844,-0.9929065364746008,-0.1612395873827591,-0.1036810400653978,-0.6194352263468487
East Montpelier,Washington,5,Low Hardship - Affluent Areas,13.42,231.0,77278,-1.869,-3.262183307011727,-1.4403795139411584,-0.2250733842683215,-0.1904153565063519,0.1547379257007961
Fayston,Washington,5,Low Hardship - Affluent Areas,10.1,99.0,77278,-2.089,-3.692177742002481,-1.814639869073307,-0.4309063410096936,-0.5628303437474564,0.5304361765388786
Lincoln,Addison,5,Low Hardship - Affluent Areas,24.29,70.0,85870,-2.094,-2.243347370981658,-1.214106217389036,2.607625134661001,0.0363645121823449,1.0027187523785477
Ripton,Addison,5,Low Hardship - Affluent Areas,23.91,46.0,85870,-2.119,-2.3731162638748704,-1.244954228810537,2.410340677018861,-0.1629803218969386,0.9636668036765264
Shoreham,Addison,5,Low Hardship - Affluent Areas,23.68,76.0,85870,-2.135,-2.4079992882332126,-1.1996856485648977,2.423793311520793,-0.0646504738290622,0.9126559600716114
Grand Isle,Grand Isle,5,Low Hardship - Affluent Areas,22.86,140.0,86639,-2.274,-2.6776448489202216,-1.0687911746632983,2.1169719107512965,-0.1027909062592443,0.5907455887690171
Monkton,Addison,5,Low Hardship - Affluent Areas,20.8,125.0,85870,-2.326,-2.855498464711127,-1.2117329284111007,2.258718075132198,0.054036217891963,0.8582876830718099
Bristol,Addison,5,Low Hardship - Affluent Areas,20.45,1032.0,85870,-2.349,-3.490593233575536,1.0837083652682686,1.6153649912884107,0.980986357064701,-0.3332394909481194
New Haven,Addison,5,Low Hardship - Affluent Areas,16.67,78.0,85870,-2.599,-3.4456417434688427,-1.451655170635236,2.005952016176264,-0.097849277977914,1.0487633934745475
Ferrisburgh,Addison,5,Low Hardship - Affluent Areas,15.57,244.0,85870,-2.672,-3.78770826661552,-1.136804635294292,1.7367716303483138,0.1768805368396356,0.5543309792856329
Jeffersonville,Chittenden,5,Low Hardship - Affluent Areas,21.13,336.0,89494,-2.703,-3.3167840041609704,-0.6137554182278779,1.4908675176159674,0.1655769318919239,-0.9098109178903232
Bolton,Chittenden,5,Low Hardship - Affluent Areas,20.73,82.0,89494,-2.729,-3.1984268096974886,-1.1371028135115688,1.577204533278914,-0.4213030400406354,-0.2318602755113666
Cornwall,Addison,5,Low Hardship - Affluent Areas,12.9,93.0,85870,-2.849,-4.106981915404113,-1.527212160830905,1.5840679017606514,-0.2303372975142721,0.9716125237470432
South Hero,Grand Isle,5,Low Hardship - Affluent Areas,12.77,141.0,86639,-2.943,-4.146922723067805,-1.4440054725894087,1.5659612397816576,-0.1165220763426925,0.8215188688602685
Hinesburg,Chittenden,5,Low Hardship - Affluent Areas,16.6,1831.0,89494,-3.003,-4.62834382837995,2.803151404239736,0.341815577176551,1.9003011823170732,-1.8271791101983772
Williston,Chittenden,5,Low Hardship - Affluent Areas,15.29,942.0,89494,-3.09,-4.608096356000762,0.3895206774907527,0.8681339391565172,1.518937847780366,-2.3984705867480516
Shelburne,Chittenden,5,Low Hardship - Affluent Areas,13.72,736.0,89494,-3.194,-4.71871197393754,-0.0735029038075201,0.8202842337316405,1.0030028443119086,-1.849049384874292
Westford,Chittenden,5,Low Hardship - Affluent Areas,13.43,201.0,89494,-3.213,-4.347659385850689,-1.1699989109392417,1.1187457148821665,-0.1657007015211513,-0.382186446450026
Huntington,Chittenden,5,Low Hardship - Affluent Areas,12.93,116.0,89494,-3.246,-4.326969780009068,-1.371004048607132,1.198952555357443,-0.3077848420092986,-0.1042144122798785
Richmond,Chittenden,5,Low Hardship - Affluent Areas,9.75,677.0,89494,-3.457,-5.3016031977084115,0.3370112173209169,0.7436416412120231,-0.5635643005163256,-1.4844865601071475
Underhill Center,Chittenden,5,Low Hardship - Affluent Areas,8.0,200.0,89494,-3.573,-5.196242901165747,-1.353580530744539,0.6993006370389895,-0.2720177216400306,-0.328112474980354
Jericho,Chittenden,5,Low Hardship - Affluent Areas,6.06,1534.0,89494,-3.702,-6.27021871857876,2.407777352434063,-0.0025176642024346,0.0460318594377474,-1.7389937064927858
Charlotte,Chittenden,5,Low Hardship - Affluent Areas,3.96,707.0,89494,-3.841,-6.146098910745606,-0.485092835415825,0.239609382329313,0.873180719937502,-1.5841866205356054
