town,county,total_enrollment,num_schools,single_school_town,avg_school_enrollment,enrollment_category,num_elementary,num_middle,num_high,num_combined,weighted_frpl_rate,free_lunch_rate,reduced_lunch_rate,elementary_frpl_rate,middle_frpl_rate,high_frpl_rate,school_frpl_variance,school_frpl_range,min_school_frpl_rate,max_school_frpl_rate,county_poverty_rate,county_median_income,county_snap_rate,frpl_vs_county_poverty,frpl_above_county_avg,county_income_zscore,frpl_zscore,hardship_score,high_frpl_flag,very_high_frpl_flag,low_confidence_flag
Castleton,Rutland,251.0,1,1,251.0,medium,1,0,0,0,33.47,25.1,8.37,33.46613545816733,,,0.0,0.0,33.5,33.5,11.4,62641,10.6,22.07,1,-1.021,0.051,1.072,0,0,0
Charlotte,Chittenden,707.0,1,1,707.0,large,1,0,0,0,3.96,2.69,1.27,3.9603960396039604,,,0.0,0.0,4.0,4.0,11.2,89494,7.6,-7.24,0,1.935,-1.906,-3.841,0,0,0
Chelsea,Orange,94.0,1,1,94.0,small,0,1,0,0,37.23,29.79,7.45,,37.234042553191486,,0.0,0.0,37.2,37.2,9.2,74534,10.2,28.03,1,0.288,0.3,0.012,0,0,0
Chester,Windsor,596.0,2,0,298.0,large,1,0,1,0,45.81,40.6,5.2,43.7037037037037,,47.54601226993865,7.22,3.8,43.7,47.5,8.7,69492,9.0,37.11,1,-0.267,0.869,1.136,0,0,0
Chittenden,Rutland,186.0,1,1,186.0,small,1,0,0,0,17.2,17.2,0.0,17.20430107526882,,,0.0,0.0,17.2,17.2,11.4,62641,10.6,5.8,1,-1.021,-1.028,-0.007,0,0,0
Colchester,Chittenden,2414.0,5,0,482.8,very_large,3,1,1,0,23.45,19.18,4.27,22.9933110367893,26.961770623742453,21.7753120665742,31.74,13.7,15.1,28.8,11.2,89494,7.6,12.25,1,1.935,-0.614,-2.549,0,0,0
Concord,Essex,156.0,1,1,156.0,small,1,0,0,0,50.0,50.0,0.0,50.0,,,0.0,0.0,50.0,50.0,13.2,55247,16.2,36.8,1,-1.834,1.147,2.981,0,0,0
Cornwall,Addison,93.0,1,1,93.0,small,1,0,0,0,12.9,11.83,1.08,12.903225806451612,,,0.0,0.0,12.9,12.9,7.5,85870,9.0,5.4,1,1.536,-1.313,-2.849,0,0,0
Coventry,Orleans,122.0,1,1,122.0,small,1,0,0,0,61.48,47.54,13.93,61.47540983606557,,,0.0,0.0,61.5,61.5,9.8,63981,13.7,51.68,1,-0.873,1.908,2.781,1,0,0
Craftsbury Common,Orleans,207.0,1,1,207.0,medium,0,0,0,1,13.04,13.04,0.0,,,,0.0,0.0,13.0,13.0,9.8,63981,13.7,3.24,1,-0.873,-1.304,-0.431,0,0,0
Cuttingsville,Rutland,74.0,1,1,74.0,small,1,0,0,0,35.14,20.27,14.86,35.13513513513514,,,0.0,0.0,35.1,35.1,11.4,62641,10.6,23.74,1,-1.021,0.161,1.182,0,0,0
