town,county,total_enrollment,num_schools,single_school_town,avg_school_enrollment,enrollment_category,num_elementary,num_middle,num_high,num_combined,weighted_frpl_rate,free_lunch_rate,reduced_lunch_rate,elementary_frpl_rate,middle_frpl_rate,high_frpl_rate,school_frpl_variance,school_frpl_range,min_school_frpl_rate,max_school_frpl_rate,county_poverty_rate,county_median_income,county_snap_rate,frpl_vs_county_poverty,frpl_above_county_avg,county_income_zscore,frpl_zscore,hardship_score,high_frpl_flag,very_high_frpl_flag,low_confidence_flag
Orford,Windsor,234.0,1,1,234.0,medium,0,0,1,0,30.34,20.94,9.4,,,30.34188034188034,0.0,0.0,30.3,30.3,8.7,69492,9.0,21.64,1,-0.267,-0.157,0.11,0,0,0
Orleans,Orleans,517.0,2,0,258.5,large,1,0,1,0,47.78,36.36,11.41,62.59541984732825,,42.74611398963731,198.0,19.9,42.7,62.6,9.8,63981,13.7,37.98,1,-0.873,0.999,1.872,0,0,0
Orwell,Addison,140.0,1,1,140.0,small,1,0,0,0,30.0,22.14,7.86,30.0,,,0.0,0.0,30.0,30.0,7.5,85870,9.0,22.5,1,1.536,-0.18,-1.716,0,0,0
Peacham,Caledonia,66.0,1,1,66.0,small,1,0,0,0,16.67,15.15,1.52,16.666666666666664,,,0.0,0.0,16.7,16.7,11.8,62964,14.1,4.87,1,-0.985,-1.063,-0.078,0,0,0
Pittsford,Rutland,180.0,1,1,180.0,small,1,0,0,0,35.56,35.56,0.0,35.55555555555556,,,0.0,0.0,35.6,35.6,11.4,62641,10.6,24.16,1,-1.021,0.189,1.21,0,0,0
Plainfield,Washington,414.0,2,0,207.0,medium,1,0,0,1,33.09,24.4,8.7,17.894736842105264,,,194.04,19.7,17.9,37.6,9.9,77278,10.3,23.19,1,0.59,0.025,-0.565,0,0,0
Poultney,Rutland,500.0,2,0,250.0,medium,1,0,1,0,34.6,26.4,8.2,31.203007518796994,,38.46153846153847,26.64,7.3,31.2,38.5,11.4,62641,10.6,23.2,1,-1.021,0.125,1.146,0,0,0
Pownal,Bennington,271.0,1,1,271.0,medium,1,0,0,0,59.04,51.66,7.38,59.040590405904055,,,0.0,0.0,59.0,59.0,11.2,68558,14.9,47.84,1,-0.369,1.746,2.115,1,0,0
Proctor,Rutland,280.0,2,0,140.0,medium,1,0,1,0,37.5,28.21,9.29,44.5859872611465,,28.455284552845526,129.61,16.1,28.5,44.6,11.4,62641,10.6,26.1,1,-1.021,0.318,1.339,0,0,0
Proctorsville,Windsor,84.0,1,1,84.0,small,1,0,0,0,38.1,29.76,8.33,38.095238095238095,,,0.0,0.0,38.1,38.1,8.7,69492,9.0,29.4,1,-0.267,0.358,0.625,0,0,0
Putney,Windham,182.0,1,1,182.0,small,1,0,0,0,39.56,31.87,7.69,39.56043956043956,,,0.0,0.0,39.6,39.6,12.6,65473,13.5,26.96,1,-0.709,0.454,1.163,0,0,0
Quechee,Windsor,203.0,1,1,203.0,medium,1,0,0,0,18.72,15.27,3.45,18.7192118226601,,,0.0,0.0,18.7,18.7,8.7,69492,9.0,10.02,1,-0.267,-0.927,-0.66,0,0,0
Randolph,Orange,701.0,2,0,350.5,large,1,0,1,0,28.1,21.26,6.85,25.07462686567164,,30.87431693989071,16.82,5.8,25.1,30.9,9.2,74534,10.2,18.9,1,0.288,-0.305,-0.593,0,0,0
Reading,Windsor,34.0,1,1,34.0,very_small,1,0,0,0,11.76,11.76,0.0,11.76470588235294,,,0.0,0.0,11.8,11.8,8.7,69492,9.0,3.06,1,-0.267,-1.389,-1.122,0,0,1
Readsboro,Bennington,39.0,1,1,39.0,very_small,1,0,0,0,33.33,30.77,2.56,33.33333333333333,,,0.0,0.0,33.3,33.3,11.2,68558,14.9,22.13,1,-0.369,0.041,0.41,0,0,1
Richford,Franklin,639.0,3,0,213.0,large,2,0,1,0,59.0,50.7,8.29,56.13577023498695,,63.28125,21.69,9.3,54.0,63.3,10.4,73633,11.6,48.6,1,0.189,1.743,1.554,1,0,0
Richmond,Chittenden,677.0,2,0,338.5,large,1,1,0,0,9.75,8.27,1.48,9.72972972972973,9.77198697068404,,0.01,0.1,9.7,9.8,11.2,89494,7.6,-1.45,0,1.935,-1.522,-3.457,0,0,0
Ripton,Addison,46.0,1,1,46.0,very_small,1,0,0,0,23.91,17.39,6.52,23.91304347826087,,,0.0,0.0,23.9,23.9,7.5,85870,9.0,16.41,1,1.536,-0.583,-2.119,0,0,1
Rochester,Windsor,84.0,1,1,84.0,small,1,0,0,0,45.24,33.33,11.9,45.23809523809524,,,0.0,0.0,45.2,45.2,8.7,69492,9.0,36.54,1,-0.267,0.831,1.098,0,0,0
Roxbury,Washington,51.0,1,1,51.0,small,1,0,0,0,33.33,27.45,5.88,33.33333333333333,,,0.0,0.0,33.3,33.3,9.9,77278,10.3,23.43,1,0.59,0.041,-0.549,0,0,0
Rutland,Rutland,1959.0,5,0,391.8,very_large,3,1,1,0,43.8,41.45,2.35,50.682056663168936,48.818897637795274,33.37765957446808,134.73,27.7,33.4,61.1,11.4,62641,10.6,32.4,1,-1.021,0.736,1.757,0,0,0
Rutland Town,Rutland,360.0,1,1,360.0,medium,1,0,0,0,11.39,10.28,1.11,11.38888888888889,,,0.0,0.0,11.4,11.4,11.4,62641,10.6,-0.01,0,-1.021,-1.413,-0.392,0,0,0
Saint Albans,Franklin,3029.0,4,0,757.25,very_large,3,0,1,0,28.72,23.61,5.12,32.23529411764706,,20.464601769911507,332.67,37.1,19.4,56.5,10.4,73633,11.6,18.32,1,0.189,-0.264,-0.453,0,0,0
Saint Johnsbury,Caledonia,702.0,1,1,702.0,large,1,0,0,0,52.42,45.01,7.41,52.42165242165242,,,0.0,0.0,52.4,52.4,11.8,62964,14.1,40.62,1,-0.985,1.307,2.292,1,0,0
Salisbury,Addison,65.0,1,1,65.0,small,1,0,0,0,47.69,35.38,12.31,47.69230769230769,,,0.0,0.0,47.7,47.7,7.5,85870,9.0,40.19,1,1.536,0.993,-0.543,0,0,0
Saxtons River,Windham,76.0,1,1,76.0,small,1,0,0,0,47.37,42.11,5.26,47.368421052631575,,,0.0,0.0,47.4,47.4,12.6,65473,13.5,34.77,1,-0.709,0.972,1.681,0,0,0
Shaftsbury,Bennington,245.0,1,1,245.0,medium,1,0,0,0,36.73,29.39,7.35,36.734693877551024,,,0.0,0.0,36.7,36.7,11.2,68558,14.9,25.53,1,-0.369,0.267,0.636,0,0,0
Sharon,Windsor,170.0,1,1,170.0,small,1,0,0,0,37.65,30.0,7.65,37.64705882352941,,,0.0,0.0,37.6,37.6,8.7,69492,9.0,28.95,1,-0.267,0.328,0.595,0,0,0
Sheffield,Caledonia,136.0,1,1,136.0,small,1,0,0,0,44.85,44.85,0.0,44.85294117647059,,,0.0,0.0,44.9,44.9,11.8,62964,14.1,33.05,1,-0.985,0.805,1.79,0,0,0
Shelburne,Chittenden,736.0,1,1,736.0,large,1,0,0,0,13.72,11.68,2.04,13.722826086956522,,,0.0,0.0,13.7,13.7,11.2,89494,7.6,2.52,1,1.935,-1.259,-3.194,0,0,0
Sheldon,Franklin,335.0,1,1,335.0,medium,1,0,0,0,38.51,25.37,13.13,38.50746268656716,,,0.0,0.0,38.5,38.5,10.4,73633,11.6,28.11,1,0.189,0.385,0.196,0,0,0
Shoreham,Addison,76.0,1,1,76.0,small,1,0,0,0,23.68,15.79,7.89,23.684210526315788,,,0.0,0.0,23.7,23.7,7.5,85870,9.0,16.18,1,1.536,-0.599,-2.135,0,0,0
South Burlington,Chittenden,2700.0,5,0,540.0,very_large,3,1,1,0,16.44,14.96,1.48,17.843866171003718,17.578125,13.523131672597867,4.25,5.1,13.5,18.6,11.2,89494,7.6,5.24,1,1.935,-1.079,-3.014,0,0,0
South Hero,Grand Isle,141.0,1,1,141.0,small,1,0,0,0,12.77,11.35,1.42,12.76595744680851,,,0.0,0.0,12.8,12.8,7.4,86639,9.7,5.37,1,1.621,-1.322,-2.943,0,0,0
South Pomfret,Windsor,91.0,1,1,91.0,small,0,1,0,0,13.19,13.19,0.0,,13.186813186813188,,0.0,0.0,13.2,13.2,8.7,69492,9.0,4.49,1,-0.267,-1.294,-1.027,0,0,0
South Royalton,Windsor,356.0,2,0,178.0,medium,1,0,1,0,43.26,33.43,9.83,43.90243902439025,,42.70833333333333,0.72,1.2,42.7,43.9,8.7,69492,9.0,34.56,1,-0.267,0.7,0.967,0,0,0
South Strafford,Orange,126.0,1,1,126.0,small,1,0,0,0,23.02,19.84,3.17,23.015873015873016,,,0.0,0.0,23.0,23.0,9.2,74534,10.2,13.82,1,0.288,-0.642,-0.93,0,0,0
Springfield,Windsor,1219.0,4,0,304.75,very_large,2,1,1,0,50.53,47.25,3.28,50.0,57.08661417322835,46.46153846153846,27.7,10.6,46.5,57.1,8.7,69492,9.0,41.83,1,-0.267,1.182,1.449,1,0,0
Starksboro,Addison,106.0,1,1,106.0,small,1,0,0,0,29.25,29.25,0.0,29.245283018867923,,,0.0,0.0,29.2,29.2,7.5,85870,9.0,21.75,1,1.536,-0.229,-1.765,0,0,0
Stockbridge,Windsor,45.0,1,1,45.0,very_small,1,0,0,0,35.56,35.56,0.0,35.55555555555556,,,0.0,0.0,35.6,35.6,8.7,69492,9.0,26.86,1,-0.267,0.189,0.456,0,0,1
Stowe,Lamoille,790.0,3,0,263.33,large,1,1,1,0,7.72,6.2,1.52,8.70712401055409,7.368421052631578,6.334841628959276,1.44,2.4,6.3,8.7,8.6,69886,8.7,-0.88,0,-0.223,-1.657,-1.434,0,0,0
Stramford,Bennington,74.0,1,1,74.0,small,1,0,0,0,27.03,22.97,4.05,27.027027027027028,,,0.0,0.0,27.0,27.0,11.2,68558,14.9,15.83,1,-0.369,-0.376,-0.007,0,0,0
Sutton,Caledonia,113.0,1,1,113.0,small,1,0,0,0,42.48,41.59,0.88,42.47787610619469,,,0.0,0.0,42.5,42.5,11.8,62964,14.1,30.68,1,-0.985,0.648,1.633,0,0,0
Swanton,Franklin,1400.0,2,0,700.0,very_large,1,0,1,0,38.07,25.86,12.21,39.45783132530121,,36.82065217391305,3.65,2.7,36.8,39.5,10.4,73633,11.6,27.67,1,0.189,0.356,0.167,0,0,0
Thetford,Orange,208.0,1,1,208.0,medium,1,0,0,0,13.46,12.98,0.48,13.461538461538462,,,0.0,0.0,13.5,13.5,9.2,74534,10.2,4.26,1,0.288,-1.276,-1.564,0,0,0
Tinmouth,Rutland,70.0,1,1,70.0,small,1,0,0,0,54.29,38.57,15.71,54.285714285714285,,,0.0,0.0,54.3,54.3,11.4,62641,10.6,42.89,1,-1.021,1.431,2.452,1,0,0
Townshend,Windham,347.0,2,0,173.5,medium,1,0,1,0,18.73,14.7,4.03,25.555555555555554,,16.342412451361866,43.25,9.3,16.3,25.6,12.6,65473,13.5,6.13,1,-0.709,-0.927,-0.218,0,0,0
Tunbridge,Orange,149.0,1,1,149.0,small,1,0,0,0,27.52,24.16,3.36,27.516778523489933,,,0.0,0.0,27.5,27.5,9.2,74534,10.2,18.32,1,0.288,-0.344,-0.632,0,0,0
Underhill Center,Chittenden,200.0,1,1,200.0,small,1,0,0,0,8.0,7.0,1.0,8.0,,,0.0,0.0,8.0,8.0,11.2,89494,7.6,-3.2,0,1.935,-1.638,-3.573,0,0,0
Vergennes,Addison,695.0,2,0,347.5,large,1,0,1,0,30.65,23.17,7.48,31.986531986531986,,29.64824120603015,2.88,2.4,29.6,32.0,7.5,85870,9.0,23.15,1,1.536,-0.136,-1.672,0,0,0
Vernon,Windham,185.0,1,1,185.0,small,1,0,0,0,31.89,29.73,2.16,31.891891891891895,,,0.0,0.0,31.9,31.9,12.6,65473,13.5,19.29,1,-0.709,-0.054,0.655,0,0,0
Waitsfield,Washington,168.0,1,1,168.0,small,1,0,0,0,29.76,26.19,3.57,29.761904761904763,,,0.0,0.0,29.8,29.8,9.9,77278,10.3,19.86,1,0.59,-0.195,-0.785,0,0,0
Walden,Caledonia,74.0,1,1,74.0,small,1,0,0,0,37.84,33.78,4.05,37.83783783783784,,,0.0,0.0,37.8,37.8,11.8,62964,14.1,26.04,1,-0.985,0.34,1.325,0,0,0
Wallingford,Rutland,122.0,1,1,122.0,small,1,0,0,0,66.39,52.46,13.93,66.39344262295081,,,0.0,0.0,66.4,66.4,11.4,62641,10.6,54.99,1,-1.021,2.233,3.254,1,0,0
Wardsboro,Windham,49.0,1,1,49.0,very_small,1,0,0,0,28.57,16.33,12.24,28.57142857142857,,,0.0,0.0,28.6,28.6,12.6,65473,13.5,15.97,1,-0.709,-0.274,0.435,0,0,1
Warren,Washington,142.0,1,1,142.0,small,1,0,0,0,19.01,15.49,3.52,19.014084507042252,,,0.0,0.0,19.0,19.0,9.9,77278,10.3,9.11,1,0.59,-0.908,-1.498,0,0,0
Washington,Orange,118.0,1,1,118.0,small,1,0,0,0,37.29,37.29,0.0,37.28813559322034,,,0.0,0.0,37.3,37.3,9.2,74534,10.2,28.09,1,0.288,0.304,0.016,0,0,0
Waterbury,Washington,400.0,1,1,400.0,medium,1,0,0,0,25.0,23.0,2.0,25.0,,,0.0,0.0,25.0,25.0,9.9,77278,10.3,15.1,1,0.59,-0.511,-1.101,0,0,0
Waterford,Caledonia,154.0,1,1,154.0,small,1,0,0,0,18.18,12.99,5.19,18.181818181818183,,,0.0,0.0,18.2,18.2,11.8,62964,14.1,6.38,1,-0.985,-0.963,0.022,0,0,0
Waterville,Lamoille,81.0,1,1,81.0,small,1,0,0,0,38.27,35.8,2.47,38.2716049382716,,,0.0,0.0,38.3,38.3,8.6,69886,8.7,29.67,1,-0.223,0.369,0.592,0,0,0
Wells,Rutland,84.0,1,1,84.0,small,1,0,0,0,38.1,32.14,5.95,38.095238095238095,,,0.0,0.0,38.1,38.1,11.4,62641,10.6,26.7,1,-1.021,0.358,1.379,0,0,0
Wells River,Orange,411.0,1,1,411.0,medium,0,0,0,1,44.53,39.42,5.11,,,,0.0,0.0,44.5,44.5,9.2,74534,10.2,35.33,1,0.288,0.784,0.496,0,0,0
West Burke,Caledonia,189.0,1,1,189.0,small,1,0,0,0,24.87,24.87,0.0,24.867724867724867,,,0.0,0.0,24.9,24.9,11.8,62964,14.1,13.07,1,-0.985,-0.52,0.465,0,0,0
West Charleston,Orleans,117.0,1,1,117.0,small,1,0,0,0,56.41,40.17,16.24,56.41025641025641,,,0.0,0.0,56.4,56.4,9.8,63981,13.7,46.61,1,-0.873,1.572,2.445,1,0,0
West Fairlee,Orange,77.0,1,1,77.0,small,1,0,0,0,44.16,29.87,14.29,44.15584415584416,,,0.0,0.0,44.2,44.2,9.2,74534,10.2,34.96,1,0.288,0.759,0.471,0,0,0
West Halifax,Windham,62.0,1,1,62.0,small,1,0,0,0,50.0,22.58,27.42,50.0,,,0.0,0.0,50.0,50.0,12.6,65473,13.5,37.4,1,-0.709,1.147,1.856,0,0,0
West Pawlet,Rutland,138.0,1,1,138.0,small,1,0,0,0,43.48,35.51,7.97,43.47826086956522,,,0.0,0.0,43.5,43.5,11.4,62641,10.6,32.08,1,-1.021,0.714,1.735,0,0,0
West Rutland,Rutland,326.0,1,1,326.0,medium,0,0,0,1,30.98,26.07,4.91,,,,0.0,0.0,31.0,31.0,11.4,62641,10.6,19.58,1,-1.021,-0.115,0.906,0,0,0
Westford,Chittenden,201.0,1,1,201.0,medium,1,0,0,0,13.43,8.96,4.48,13.432835820895523,,,0.0,0.0,13.4,13.4,11.2,89494,7.6,2.23,1,1.935,-1.278,-3.213,0,0,0
White River Junction,Windsor,1256.0,4,0,314.0,very_large,2,1,1,0,29.78,24.92,4.86,34.68468468468468,35.374149659863946,22.393822393822393,79.47,20.5,22.4,42.9,8.7,69492,9.0,21.08,1,-0.267,-0.194,0.073,0,0,0
Whiting,Addison,96.0,1,1,96.0,small,1,0,0,0,42.71,42.71,0.0,42.70833333333333,,,0.0,0.0,42.7,42.7,7.5,85870,9.0,35.21,1,1.536,0.663,-0.873,0,0,0
Whitingham,Windham,193.0,1,1,193.0,small,0,0,1,0,38.34,26.94,11.4,,,38.34196891191709,0.0,0.0,38.3,38.3,12.6,65473,13.5,25.74,1,-0.709,0.373,1.082,0,0,0
Williamstown,Orange,522.0,2,0,261.0,large,1,0,1,0,40.23,40.23,0.0,41.03585657370518,,39.48339483394834,1.12,1.5,39.5,41.0,9.2,74534,10.2,31.03,1,0.288,0.499,0.211,0,0,0
Williston,Chittenden,942.0,1,1,942.0,large,1,0,0,0,15.29,11.57,3.72,15.286624203821656,,,0.0,0.0,15.3,15.3,11.2,89494,7.6,4.09,1,1.935,-1.155,-3.09,0,0,0
Wilmington,Windham,181.0,1,1,181.0,small,1,0,0,0,43.09,34.81,8.29,43.0939226519337,,,0.0,0.0,43.1,43.1,12.6,65473,13.5,30.49,1,-0.709,0.688,1.397,0,0,0
Windham,Windham,22.0,1,1,22.0,very_small,1,0,0,0,13.64,13.64,0.0,13.636363636363635,,,0.0,0.0,13.6,13.6,12.6,65473,13.5,1.04,1,-0.709,-1.264,-0.555,0,0,1
Windsor,Windsor,580.0,1,1,580.0,large,0,0,0,1,33.28,28.1,5.17,,,,0.0,0.0,33.3,33.3,8.7,69492,9.0,24.58,1,-0.267,0.038,0.305,0,0,0
Winooski,Chittenden,787.0,3,0,262.33,large,1,1,1,0,60.1,59.09,1.02,55.42725173210161,61.87050359712231,68.37209302325581,42.25,13.0,55.4,68.4,11.2,89494,7.6,48.9,1,1.935,1.816,-0.119,1,0,0
Wolcott,Lamoille,121.0,1,1,121.0,small,1,0,0,0,20.66,19.83,0.83,20.66115702479339,,,0.0,0.0,20.7,20.7,8.6,69886,8.7,12.06,1,-0.223,-0.799,-0.576,0,0,0
Woodbury,Washington,55.0,1,1,55.0,small,1,0,0,0,18.18,18.18,0.0,18.181818181818183,,,0.0,0.0,18.2,18.2,9.9,77278,10.3,8.28,1,0.59,-0.963,-1.553,0,0,0
Woodstock,Windsor,718.0,2,0,359.0,large,1,0,1,0,9.47,8.36,1.11,9.66542750929368,,9.35412026726058,0.04,0.3,9.4,9.7,8.7,69492,9.0,0.77,1,-0.267,-1.541,-1.274,0,0,0
Worcester,Washington,75.0,1,1,75.0,small,1,0,0,0,25.33,25.33,0.0,25.333333333333336,,,0.0,0.0,25.3,25.3,9.9,77278,10.3,15.43,1,0.59,-0.489,-1.079,0,0,0
